Ondřej Bouchala,2025 ZS,FALSE,MA2,"Funkce více proměnných: diferenciální počet funkcí více proměnných (limita, parciální derivace, derivace, gradient, Hessova matice), kvadratické formy a jejich definitnosti, analytická metoda hledání lokálních extrémů funkcí více proměnných (bez omezení). Zúžení: Kvadratické formy a jejich definitnost, ukázat příklad vč. určení definitnosti. Vztah mezi definitností kvadr. forem a lokálními extrémy.",A,"Napsal jsem definice, ukázal lehký příklad na úpravu na čtverce a určení definitnosti. Doptával se jen pár detailů k definicím (Sylvestrovo kritérium, nutná podmínka k lok. extrém). Byl milý, bez problémů.",
Krásenský Jakub,2025 LS,FALSE,MA2,"15. Integrální počet funkce jedné proměnné (neurčitý integrál a Riemannův určitý integrál, metody integrace pomocí substituce a per partes), číselné řady a kritéria jejich konvergence, asymptotické odhady chování posloupností částečných součtů řad pomocí integrálu. Zaměření: Číselné řady, definice konvergence číselné řady, vyjmenovat některé kritéria konvergence, navrhnout konvergentní číselnou řadu s kladnými členy",A,,
Jan Legerský,2026 ZS,FALSE,MA2,"Integrální počet funkce jedné proměnné (neurčitý integrál a Riemannův určitý integrál, metody integrace pomocí substituce a per partes), číselné řady a kritéria jejich konvergence, asymptotické odhady chování posloupností částečných součtů řad pomocí integrálu. Zužení: Geometrický význam Reimanůva integrálu, odhad chování posloupnosti číselných součtu řád a ukazat použítu odhadu na harmonické řádě",C,"Napsala jsem min než půlku, ani nevědela jsem co je harmonická řáda, tuhle otazku jsem vůbec nečekala. Ale v zásadě jsem měla naznak jak sestavit ten integrál, co to vůbec je, samotnou větu o odhadech a ještě dlouho ze mě tlačil co je vůbec tá řada... Byl moc ochotný, netuším jak mě nevyhodili. Nic extra nedoptaval.",
Kalvoda Tomáš ,2025 LS,FALSE,MA2,"Vysvětlete geometrický význam Riemannova integrálu a napište, jak pro jeho výpočet můžeme využít neurčitý integrál",B,,
Petr Ivo,2025 LS,FALSE,MA2,"Funkce více proměnných: diferenciální počet funkcí více proměnných (limita, parciální derivace, derivace, gradient, Hessova matice), kvadratické formy a jejich definitnosti, analytická metoda hledání lokálních extrémů funkcí více proměnných (bez omezení). Zúžení: parciální derivace, gradient, hessova matice. Geometrický význam gradientu. Postup hledání lokálních extrémů.",D,"Sice jsem sepsal všechny definice, avšak hned tu první (na parciální derivace) jsem pokazil. Samozřejmě mě v tom momentu nenapadlo, kde je chyba a tak se ze mě pracně snažil vydolovat to co chtěl. Nakonec se ještě doptával na metody určení zda je matice PD/ND (nenapsal jsem to tam)",
Smítková Janků Ladislava,2025 LS,TRUE,ML1,"ML1: Nesupervizované učení – základní prinicipy, algoritmus k-means, DBSCAN. (bez specifikace)",A,,
Trdlička Jan,2025 LS,FALSE,OSY,Procesy a vlákna. Jejich implementace.,B,,
Vondra Tomáš,2025 LS,FALSE,OSY,"17. Procesy, vlákna, deadlocky, bez upřesnění",,,
Petr Zemánek,2025 LS,FALSE,OSY,"Virtualizace hlavní paměti stránkováním, principy překladu virtuálních adres na fyzické, struktura tabulek stránek, algoritmy pro nahrazování stránek.",B,"Napsal jsem a řekl zhruba všechno, co jsem si k tomu vypracoval. Ptal se pak na detaily, kontrétní velikosti stránek a na Translation Lookaside Buffer.",
Vogel Josef,2025 LS,FALSE,PA1,"PA1 casova slozitost algoritmu (Konkretne: casova slozitost jednotlivych algoritmu Bubble, Select atd., strategie urceni pivota)",,"prohlidl si moje O(n), nakreslil graf v zavislosti na n a zeptal se co to teda vlastne znamena, urceni pivota sem mu napsal ze nahodny zvoleni pivota je cajk, brat to ze zacatku/konce nedopada dobre, byl spokojenej a zeptal se mne jak zvolit ten median ze tri cisel tak sem mu rekl ze ty 3 cisla vyberem nahodne a on byl spoko",
